run,Selection_Threshold,VIF_Threshold,PCA_n_Components,colinearity_threshold,train_f1_macro,test_f1_macro,test_balanced_accuracy,test_f1_weighted,precision_weighted,recall_weighted
3,0.014,15,40,0.85,0.9967,0.9163,0.9164,0.9393,0.9412,0.9386
1,0.014,15,50,0.75,0.9958,0.9083,0.9078,0.9304,0.9324,0.9295
2,0.014,15,50,0.75,0.9971,0.8925,0.8907,0.9191,0.9247,0.9192
3,0.014,15,50,0.75,0.9964,0.9104,0.9105,0.9352,0.9375,0.934
1,0.014,15,50,0.8,0.9957,0.9077,0.9078,0.9301,0.9319,0.9295
2,0.014,15,50,0.8,0.996,0.8904,0.8887,0.917,0.9217,0.917
3,0.014,15,50,0.8,0.9967,0.9115,0.9112,0.9351,0.9376,0.934
1,0.014,15,50,0.85,0.9953,0.9077,0.9078,0.9301,0.9319,0.9295
2,0.014,15,50,0.85,0.996,0.8904,0.8887,0.917,0.9217,0.917
3,0.014,15,50,0.85,0.9967,0.9112,0.9112,0.9349,0.9372,0.934
1,0.014,15,60,0.75,0.9962,0.9055,0.9044,0.9283,0.931,0.9272
2,0.014,15,60,0.75,0.9973,0.8933,0.888,0.9191,0.924,0.9192
3,0.014,15,60,0.75,0.9968,0.9142,0.9126,0.9372,0.9392,0.9363
1,0.014,15,60,0.8,0.9958,0.9071,0.9066,0.9292,0.9314,0.9283
2,0.014,15,60,0.8,0.9967,0.8948,0.8914,0.9204,0.9256,0.9204
3,0.014,15,60,0.8,0.9964,0.9128,0.9119,0.9371,0.9392,0.9363
1,0.014,15,60,0.85,0.9958,0.9071,0.9066,0.9292,0.9314,0.9283
2,0.014,15,60,0.85,0.9967,0.8956,0.8924,0.9215,0.9267,0.9215
3,0.014,15,60,0.85,0.9964,0.9113,0.91,0.9361,0.9383,0.9352
1,0.014,15,70,0.75,0.996,0.9126,0.9126,0.9329,0.9356,0.9317
2,0.014,15,70,0.75,0.9979,0.8899,0.8851,0.9178,0.9233,0.9181
3,0.014,15,70,0.75,0.9964,0.9146,0.9136,0.9374,0.9395,0.9363
1,0.014,15,70,0.8,0.996,0.9202,0.9209,0.9381,0.9399,0.9374
2,0.014,15,70,0.8,0.9977,0.8904,0.887,0.9176,0.9232,0.9181
