,experiment_number,Selection Threshold,VIFThreshold,PCA_n_Components,train_f1_macro,test_f1_macro,test_balanced_accuracy,test_f1_weighted,precision_weighted,recall_weighted
113,2,0.016,30,50,0.9602390636485119,0.8871132637369145,0.8894673226733054,0.9143659036318494,0.9162999818165938,0.9135381114903299
114,2,0.016,30,60,0.9694074456920156,0.8924433560926237,0.8947492441814424,0.9179708583219623,0.9203321055378286,0.9169510807736063
115,2,0.016,30,70,0.9732659779703332,0.8919079004465531,0.8943827657400978,0.916990803766923,0.9193750533799486,0.9158134243458476
116,2,0.016,30,80,0.9800154005808275,0.8970332451821272,0.897577298480085,0.9209021577579981,0.9222087080782101,0.9203640500568828
117,2,0.016,30,90,0.9852132107074296,0.8972913039011119,0.8996690718285427,0.92029890711688,0.922434970015605,0.919226393629124
118,2,0.016,30,100,0.9861852728614064,0.8981966415893433,0.8995632210542428,0.920093035500578,0.9217298839419097,0.919226393629124
119,2,0.016,25,40,0.9462881905064167,0.8853359833144806,0.8888767184979479,0.910024213464756,0.9122660355307527,0.9089874857792947
120,2,0.016,25,50,0.9586392977917302,0.8870555102005142,0.8891194793022061,0.913180288671815,0.9150206927031235,0.9124004550625711
121,2,0.016,25,60,0.9671953477766672,0.8976252513162624,0.899236423668622,0.9221436400148415,0.9235595709773595,0.9215017064846417
122,2,0.016,25,70,0.9714577184247999,0.8910600544176399,0.8936066587893856,0.9167881040291462,0.9189259096195185,0.9158134243458476
123,2,0.016,25,80,0.9778528116891144,0.9011028152261557,0.9029986858782167,0.9248584000322946,0.9271615929767423,0.9237770193401593
124,2,0.016,25,90,0.9823113405254724,0.8944668394917762,0.8951473640734064,0.9194295996296633,0.9223857549195331,0.9180887372013652
125,2,0.016,25,100,0.9842691683801361,0.894753172865454,0.8953893566702056,0.9200069537975702,0.9215489779949809,0.919226393629124
126,2,0.016,20,40,0.944893797008829,0.8836096673512487,0.8858498240862757,0.9101229979436448,0.9121936855847477,0.9089874857792947
127,2,0.016,20,50,0.9598904305089224,0.8805646584066159,0.8838331732137612,0.909586818154691,0.9114122755931753,0.9089874857792947
128,2,0.016,20,60,0.9666313230936889,0.8859310804533924,0.8884095420700702,0.9119472435713506,0.9138169042448722,0.9112627986348123
129,2,0.016,20,70,0.9744732520134695,0.8913611349236841,0.8936066587893856,0.9178507258259536,0.920286925219636,0.9169510807736063
130,2,0.016,20,80,0.9794791686224571,0.8960975201049535,0.8991578297646332,0.9213949665587504,0.9239762257945942,0.9203640500568828
131,2,0.016,20,90,0.9844546944346129,0.8983344046558576,0.901124972323742,0.9221638512679712,0.9238146340616251,0.9215017064846417
132,2,0.016,20,100,0.9878671341246896,0.8975944880782227,0.900652643108097,0.9213271737578774,0.9230242329685397,0.9203640500568828
133,2,0.016,15,40,0.9501142570912419,0.8851238858726966,0.8902622459105339,0.9098928154229804,0.9120207551264816,0.9089874857792947
134,2,0.016,15,50,0.9599475673822805,0.8830536280925286,0.8862464462152695,0.9096656935647469,0.9114070481842137,0.9089874857792947
135,2,0.016,15,60,0.9710011579857795,0.886588905625998,0.8892828779950167,0.9135542703937276,0.9166186317438361,0.9124004550625711
136,2,0.016,15,70,0.9791469114013724,0.8892751754059336,0.8920845885756103,0.9157002575467618,0.9189477331849958,0.9146757679180887
137,2,0.016,15,80,0.985378195432348,0.8916241373021149,0.8936066587893856,0.9165614997568099,0.9187646209625919,0.9158134243458476
138,2,0.016,15,90,0.9865474101867492,0.8861524415919936,0.886982727165454,0.912227103330651,0.9151243236598885,0.9112627986348123
139,2,0.016,15,100,0.9886586642746895,0.9008748219367142,0.9025757200311741,0.9224728558258731,0.9245617716178006,0.9215017064846417
140,3,0.016,30,40,0.9503761002227219,0.863827996337301,0.8693514149412269,0.8962571624588981,0.9015784070776602,0.8953356086461889
141,3,0.016,30,50,0.9641311183645779,0.8723252924296325,0.8758562926559958,0.9016641296269465,0.9059339997764796,0.9010238907849829
142,3,0.016,30,60,0.9715563679208636,0.8622047599382482,0.8652129182576582,0.8957246150994838,0.9007977511307174,0.8953356086461889
143,3,0.016,30,70,0.9763097869011944,0.8650038890520183,0.868061921106661,0.8977287584586946,0.9032907095416748,0.8976109215017065
144,3,0.016,30,80,0.9786352446056475,0.869134770390182,0.8711948777279898,0.900348396283343,0.9049817233963284,0.8998862343572241
145,3,0.016,30,90,0.9827381816942162,0.8763793081127438,0.8775838376053217,0.9050432683710673,0.9089302679253045,0.9044368600682594
146,3,0.016,30,100,0.9861562285488941,0.886010706902156,0.8880021230236073,0.9127784993436396,0.9169112810349487,0.9124004550625711
147,3,0.016,25,40,0.9478705900858421,0.8672417532199801,0.8720148092220454,0.898507696890669,0.9034358592926779,0.8976109215017065
148,3,0.016,25,50,0.9602602139153116,0.866091032276802,0.8705665922452623,0.8982130030799633,0.9025129541825789,0.8976109215017065
149,3,0.016,25,60,0.9689610147290336,0.8688996426059167,0.8726619722183402,0.9002287232308884,0.9047081705010439,0.8998862343572241
150,3,0.016,25,70,0.97149826789809,0.8739534461450884,0.876904004948745,0.9036965980585822,0.9084005383236016,0.9032992036405005
151,3,0.016,25,80,0.9773405793649628,0.8735882029824661,0.8764054294501693,0.903398071810964,0.9082972570396369,0.9032992036405005
152,3,0.016,25,90,0.9821567868841102,0.8784522552085675,0.8815586096033496,0.907112232256211,0.9117285197937052,0.906712172923777
153,3,0.016,25,100,0.9849755208917326,0.8854280004766012,0.8868895219110061,0.9126024563011824,0.9177658335733637,0.9124004550625711
154,3,0.016,20,40,0.9488945698716181,0.8653906236078586,0.870043674000825,0.8972207345243859,0.9022474839434437,0.8964732650739476
155,3,0.016,20,50,0.9567470830055138,0.8575929163607727,0.8618595964560734,0.8913869627449779,0.8951416781756358,0.8907849829351536
156,3,0.016,20,60,0.9664941823805129,0.8582668919195217,0.8607318576774662,0.8926481561958648,0.8964788514472531,0.8919226393629124
157,3,0.016,20,70,0.9746716578316376,0.8717769902854621,0.8734089738429544,0.9019495961518266,0.9072294498143881,0.9010238907849829
158,3,0.016,20,80,0.9797930485736701,0.8704191502451282,0.8731582423422228,0.9016385269651724,0.9062684686627934,0.9010238907849829
159,3,0.016,20,90,0.9834372743249773,0.8757040878096051,0.8786303513027038,0.9051680936139833,0.9091863602570753,0.9044368600682594
160,3,0.016,20,100,0.9851249417115366,0.8748416902291699,0.8780218972058778,0.9049674671824323,0.9099994852518081,0.9044368600682594
161,3,0.016,15,40,0.9513190822631442,0.8674557952313673,0.8694532851488935,0.8969870323742076,0.9012915052154511,0.8964732650739476
162,3,0.016,15,50,0.9633724590894516,0.8703388877650333,0.8716929855045786,0.8993994422221924,0.9034511477659856,0.8987485779294653
163,3,0.016,15,60,0.9727593572907944,0.8735693684072802,0.87475829743065,0.9025134793173467,0.9053418664190516,0.9021615472127418
164,3,0.016,15,70,0.9776914111564795,0.8725616073920706,0.8749498683539283,0.9017679727317385,0.9052421486866704,0.9010238907849829
165,3,0.016,15,80,0.9825482944540604,0.8729746781226664,0.8752099686140286,0.9028105082981712,0.9060228909509314,0.9021615472127418
166,3,0.016,15,90,0.9843756756596324,0.8754115258954237,0.8776519710560311,0.9045989272674603,0.9083020478022268,0.9044368600682594
167,3,0.016,15,100,0.9850622676370766,0.8832256766237242,0.8835283631774599,0.9103061130597004,0.9143911736652751,0.9101251422070534
168,1,0.018,25,40,0.9493871806276759,0.8435382417956908,0.848989033142908,0.8811175317287281,0.8863865778525184,0.8782707622298066
169,1,0.018,25,50,0.9576001797609935,0.8508523875047361,0.8543064348594304,0.8866671608524588,0.8907516708281513,0.8839590443686007
170,1,0.018,25,60,0.9660364611976827,0.8565988909080482,0.8598357172234837,0.8905313784894235,0.8938989218853965,0.888509670079636
171,1,0.018,25,70,0.9720360579884637,0.8579982617287567,0.8609549168497683,0.8920065737409797,0.8954242145937882,0.8896473265073948
172,1,0.018,25,80,0.9760788858761267,0.8508137389928303,0.852970109641612,0.8873018173026979,0.8905334677224207,0.8850967007963595
173,1,0.018,25,90,0.9801370296037892,0.8551089605396586,0.8569798690051151,0.8906422116086162,0.8938210506676457,0.888509670079636
174,1,0.018,25,100,0.9822649351133438,0.857431104038819,0.8601818151194678,0.892823518424812,0.8958588999934921,0.8907849829351536
175,1,0.018,30,40,0.9493871806276759,0.8435382417956908,0.848989033142908,0.8811175317287281,0.8863865778525184,0.8782707622298066
176,1,0.018,30,50,0.9576001797609935,0.8508523875047361,0.8543064348594304,0.8866671608524588,0.8907516708281513,0.8839590443686007
177,1,0.018,30,60,0.9660364611976827,0.8565988909080482,0.8598357172234837,0.8905313784894235,0.8938989218853965,0.888509670079636
178,1,0.018,30,70,0.9720360579884637,0.8579982617287567,0.8609549168497683,0.8920065737409797,0.8954242145937882,0.8896473265073948
179,1,0.018,30,80,0.9760788858761267,0.8508137389928303,0.852970109641612,0.8873018173026979,0.8905334677224207,0.8850967007963595
180,1,0.018,30,90,0.9801370296037892,0.8551089605396586,0.8569798690051151,0.8906422116086162,0.8938210506676457,0.888509670079636
181,1,0.018,30,100,0.9822649351133438,0.857431104038819,0.8601818151194678,0.892823518424812,0.8958588999934921,0.8907849829351536
182,1,0.018,20,40,0.9505344359061104,0.8481182780927102,0.855425705444965,0.8831967556053014,0.8896736449083454,0.8805460750853242
183,1,0.018,20,50,0.9605504744152278,0.8472200276082467,0.8511531379943457,0.8854891294965578,0.8895256391508571,0.8828213879408419
184,1,0.018,20,60,0.9669318952775362,0.8530043216291318,0.8545818608482114,0.8910728257540267,0.8948399379435902,0.888509670079636
185,1,0.018,20,70,0.9708411823298225,0.8572038384300872,0.8582627327451338,0.8934098094407106,0.8973096919068838,0.8907849829351536
186,1,0.018,20,80,0.9767348350036318,0.8503092627282597,0.8512882255989409,0.8890857515859241,0.8930220280284072,0.8862343572241184
187,1,0.018,20,90,0.981381061406315,0.8552047614715315,0.8566367622018173,0.8918500514280231,0.8950066592241896,0.8896473265073948
188,1,0.018,20,100,0.9827181614161689,0.8616862902821124,0.8630362552766253,0.8962642311592737,0.8992995675452051,0.89419795221843
189,1,0.018,15,40,0.9476487502270743,0.8357477537948135,0.8412037383208409,0.8759797714000896,0.8822168850234648,0.8725824800910125
190,1,0.018,15,50,0.9616753231385042,0.83934282280726,0.8425262460446147,0.8802003719513886,0.8848210850089047,0.8771331058020477
191,1,0.018,15,60,0.9653901038570933,0.85046982861304,0.8537640605744762,0.8874898781390774,0.890918693589329,0.8850967007963595
192,1,0.018,15,70,0.9733930736069459,0.8432384415833052,0.8434916987304218,0.8836005170571217,0.8862225073195255,0.8816837315130831
193,1,0.018,15,80,0.9776752632367091,0.8457948914666729,0.8454515532356092,0.8847719516305738,0.8887808404338896,0.8816837315130831
194,1,0.018,15,90,0.9805366803408776,0.8591155691155856,0.8605795786446337,0.8967234209055863,0.9000618055312072,0.89419795221843
195,2,0.018,25,40,0.9437657943808269,0.8622936287474231,0.8704153361679787,0.887726626794317,0.8920348815040353,0.8862343572241184
196,2,0.018,25,50,0.9607735595710698,0.8675686829650953,0.8732088621986643,0.8937540848233578,0.8978284800987117,0.8919226393629124
197,2,0.018,25,60,0.9665644707263839,0.8794061429893335,0.8842068511378296,0.903751799707353,0.9077387672298161,0.9021615472127418
198,2,0.018,25,70,0.9713543778443822,0.8771148955536826,0.8819095871256049,0.9000508566771155,0.9040140859645596,0.8987485779294653
